分野,問題文,正解,解説,出典
業法,宅建業者Aは、死亡したCの相続人Dから、Cの死亡を知った日から35日目に廃業の届出をした。適法である。,×,死亡の届出は知った日から30日以内です（業法11条）。35日目は期間超過で違法となります。,業法
業法,法人の合併消滅の届出は、消滅会社の代表役員「であった者」が、合併「により消滅した日」から30日以内に行う。,○,正しい。起算点は「その日」から。死亡以外の届出事由は「その日」起算です。届出義務者が「であった者」である点にも注意。,業法
業法,免許の有効期間満了の90日前から30日前までに更新申請を行わなければ、当該免許は失効する。,×,更新申請期間内に申請しなかった場合でも、処分があるまで従前の免許は有効です。申請期間と失効は直結しません。,業法
業法,2以上の都道府県に事務所を設置して宅建業を営もうとする者は、国土交通大臣の免許を受けなければならない。,○,正しい。事務所の所在地による区分で、本店所在地ではなく事務所の設置場所が基準です（業法3条1項）。,業法
業法,事務所には、従業者5人に1人以上の割合で成年の専任の宅建士を置かなければならない。,○,正しい（業法31条の3第1項）。案内所等の場合は最低1人の設置で足ります。,業法
業法,宅建士は、37条書面を交付する際に当該書面の記載事項を説明しなければならない。,×,37条書面には説明義務はありません。宅建士の記名のみが必要です。説明義務があるのは35条書面（重要事項説明）です。,業法
業法,35条書面の記載事項として、飲用水・電気・ガスの供給施設の整備状況は挙げられている。,○,正しい。物件情報系の代表例で、35条のみの記載事項です。生活インフラの整備状況は買主・借主の判断に直結します。,業法
業法,代金の支払時期・支払方法は、定めがあるときに37条書面に記載する任意的記載事項である。,×,代金の額・支払時期・支払方法は必要的記載事項です（業法37条1項）。定めの有無にかかわらず必ず記載しなければなりません。,業法
業法,宅建業者が自ら売主で買主が一般人の場合、損害賠償額の予定・違約金の合計は、代金の額の3/10を超えることができない。,×,2/10（20%）以内です（業法38条）。超えた部分は無効となります。3/10ではなく2/10が正しい数字です。,業法
業法,クーリングオフは、申込みまたは契約をした場所が事務所等以外であれば、買主の属性を問わず無条件で発動する。,×,買主の自宅・勤務先で買主が自ら申し出て契約した場合は「事務所等」扱いとなり、クーリングオフは適用されません。,業法
業法,クーリングオフの書面告知を受けた日を含めて9日目に解除の書面を発信しても有効である。,×,告知日を含めて8日以内が期限です。発信主義ですが、9日目は期間徒過で無効となります。,業法
業法,クーリングオフの期間を書面告知から5日間とする特約は有効である。,×,買主に不利な特約は無効です（業法37条の2第4項）。8日間より短縮する特約は認められません。,業法
業法,手付金等の保全措置において、完成物件については指定保管機関による保管が認められる。,○,正しい。指定保管機関による保管は完成物件のみに認められます。未完成物件は銀行保証・保証保険の2種のみです。,業法
業法,宅建業者が自ら売主の場合、瑕疵（契約不適合）担保の通知期間を「引渡しから2年以上」とする特約は有効である。,○,正しい。民法より不利な特約は原則無効ですが、通知期間を引渡しから2年以上とする特約は例外的に有効です（業法40条）。,業法
業法,"営業保証金は、主たる事務所につき1,000万円、その他の事務所1か所につき500万円を供託する。",○,正しい（施行令2条の4）。金額は政令で定められた数字で、宅建試験の頻出ポイントです。,業法
業法,保証協会の社員は、社員となった日から1か月以内に、弁済業務保証金分担金を協会に納付すればよい。,×,2週間以内です。期限超過で社員資格を喪失します（業法64条の9第1項）。1か月ではなく2週間が正しい期限です。,業法
業法,保証協会の分担金は、主たる事務所60万円、その他の事務所1か所30万円で、協会が供託所へ供託する。,○,正しい（業法64条の9第2項・施行令7条）。営業保証金と比べると大幅に少額で、中小業者の負担軽減が目的です。,業法
業法,宅建業者間の取引により生じた債権でも、営業保証金から還付を受けることができる。,×,宅建業者間取引は還付対象外です（業法27条第1項かっこ書）。保護対象は一般消費者に限られます。,業法
業法,営業保証金の還付により不足が生じた場合、通知を受けた日から2週間以内に不足額を供託しなければならない。,○,正しい（業法28条第1項）。供託後2週間以内に免許権者に届出も必要です。,業法
業法,報酬の上限は、売買価額400万円超の部分につき、価額×3%+6万円（税抜）である。,○,正しい。告示の速算式で、依頼者の一方からの上限額です。400万円以下の部分は別の料率が適用されます。,業法
業法,売買の代理を行う場合、依頼者から受ける報酬は、媒介の場合の3倍が上限である。,×,代理は2倍が上限です。相手方から受ける分と合わせても2倍以内に収めなければなりません。3倍ではなく2倍が正しい数字です。,業法
業法,居住用建物の貸借の媒介では、依頼者の承諾がなくても、依頼者の一方から借賃1か月分を報酬として受領できる。,×,原則は0.5か月分ずつです。一方から1か月分を受領するには、依頼者の承諾が必要です。,業法
業法,宅建業者は、事務所ごとに標識・報酬額・帳簿・従業者名簿を備え付けなければならない。,○,正しい（業法48条・49条・50条）。事務所の「4点セット」として暗記必須です。,業法
業法,宅建業者は、取引の関係者から事務所に備え置く帳簿の閲覧を求められたときは、これを拒んではならない。,×,帳簿には閲覧義務はありません。閲覧義務があるのは従業者名簿です（業法48条第4項）。帳簿と名簿の扱いの違いに注意。,業法
業法,8種制限は、宅建業者が自ら売主となる売買契約についてのみ適用される。,○,正しい。かつ買主が宅建業者でないことも条件です。媒介・代理には適用されません。,業法
業法,他人物売買は原則禁止だが、宅建業者が当該物件の所有者と取得する契約を締結している場合は、契約できる。,○,正しい（業法33条の2）。取得の確実性が要件です。なお、停止条件付契約では取得の確実性が認められず不可です。,業法
業法,既存建物の売買では、建物の構造耐力上主要な部分等について当事者の双方が確認した事項は、35条書面の記載事項である。,×,これは37条書面の必要的記載事項です（R2改正）。35条ではなく37条に記載する点がひっかけポイントです。,業法
業法,水害ハザードマップにおける宅地建物の所在地は、35条書面の記載事項である。,○,正しい（R2.8施行）。売買・貸借とも対象です。近年の法改正で追加された重要事項です。,業法
業法,監督処分のうち「指示処分」「業務停止処分」は免許権者が行うが、「免許取消処分」は国土交通大臣のみが行える。,×,免許取消処分も免許権者が行います（業法66条）。国土交通大臣のみという限定は誤りです。,業法
業法,宅建士が事務禁止処分を受けたときは、速やかに宅建士証を交付を受けた都道府県知事に提出しなければならない。,○,正しい（業法22条の2第7項）。「返納」ではなく「提出」である点がポイント。処分期間が終了すると返還されます。,業法
業法,専属専任媒介契約の有効期間は、3ヶ月を超えることができない。,○,正しい（業法34条の2第3項）。3ヶ月が上限で、超える特約は3ヶ月に短縮されます。専任媒介も同様です。,業法
業法,専任媒介契約を締結した宅建業者は、契約日から7日以内（休業日を除く）に指定流通機構に登録しなければならない。,○,正しい（施行規則15条の10）。専任は7日、専属専任は5日です。いずれも休業日を除く点に注意。,業法
業法,専属専任媒介契約における業務処理状況の報告義務は、2週間に1回以上である。,×,専属専任は1週間に1回以上です（業法34条の2第9項）。2週間に1回以上は専任媒介の頻度。両者の混同は頻出ひっかけ。,業法
業法,一般媒介契約には、有効期間の法定上限はない。,○,正しい。業法34条の2の3ヶ月上限は専任・専属専任にのみ適用。一般媒介は当事者の合意に委ねられます。,業法
業法,媒介契約書（34条の2書面）には、宅建業者が記名する必要がある。,○,正しい（業法34条の2第1項）。宅建業者の記名が必要です。宅建士の記名ではない点がひっかけ──35条・37条書面は宅建士の記名です。,業法
業法,著しく事実に相違する広告や、著しく優良と誤認させる表示は、監督処分の対象となるだけで罰則は科されない。,×,誇大広告の禁止違反は6ヶ月以下の懲役または100万円以下の罰金が科されます（業法32条・81条）。監督処分と罰則の両方があります。,業法
業法,宅建業者は、広告をするときのみ取引態様を明示すればよく、注文を受けたときの明示は不要である。,×,広告時と注文受時の両方で取引態様（売主/代理/媒介）の明示が必要です（業法34条）。片方だけでは足りません。,業法
業法,破産手続開始の決定を受けて復権を得ない者は、宅建業の免許を受けることができない。,○,正しい（業法5条1項1号）。復権を得れば欠格事由は即解除されます。『復権から5年』は誤り──ひっかけに注意。,業法
業法,禁錮以上の刑に処せられ執行猶予期間が満了した者は、その日から5年を経過しないと免許を受けることができない。,×,執行猶予期間が満了した翌日から即座に免許を受けられます（業法5条1項5号反対解釈）。「満了から5年」は誤りです。,業法
業法,宅建士証の有効期間は5年であり、更新にあたっては交付申請前6ヶ月以内に行われる法定講習を受講する必要がある。,○,正しい（業法22条の2第3項・22条の3第1項）。5年更新・6ヶ月以内の講習受講が要件です。,業法
業法,宅建士が現在の登録先と異なる都道府県に事務所を置く宅建業者の従業者となったときは、登録の移転をしなければならない。,×,登録の移転は申請することができる（任意）です（業法19条の2）。義務ではありません。,業法
業法,新築住宅を自ら売主として販売した宅建業者は、買主への10年間の瑕疵担保責任を担保するため、住宅販売瑕疵担保保証金の供託または住宅販売瑕疵担保責任保険の締結が義務付けられる。,○,正しい（住宅瑕疵担保履行法11条）。供託または保険のいずれかを選択。買主が宅建業者の場合は適用外です。,業法
業法,住宅瑕疵担保履行法の保証金の供託状況は、基準日から3週間以内に免許権者に届け出なければならない。,○,正しい（住宅瑕疵担保履行法12条）。基準日は3月31日と9月30日の年2回。届出を怠ると新たな新築住宅の販売が禁止されます。,業法
業法,宅建業者は、正当な理由なく、業務上知り得た秘密を他に漏らしてはならず、業を営まなくなった後も同様である。,○,正しい（業法45条）。守秘義務は廃業後も継続します。違反すると50万円以下の罰金が科されます（業法83条1項2号）。,業法
業法,宅建業者の相手方に対し、利益を生ずる断定的判断を提供することは禁止されている。,○,正しい（業法47条の2第1項）。「必ず値上がりする」等の断定的判断の提供は禁止されます。契約誘引の不当勧誘規制です。,業法
業法,一団の分譲の案内所を設置する場合、業務開始の10日前までに免許権者と所在地を管轄する知事に届け出なければならない。,○,正しい（業法50条2項・施行規則19条3項）。業務開始10日前までに両方の権者へ届出が必要です。,業法
業法,専任の宅建士が欠けた場合、2週間以内に新たに設置しなければ、業法違反となる。,○,正しい（業法31条の3第3項）。2週間以内に補充が必要。補充しないと業務停止や免許取消の対象になります。,業法
業法,買主が宅建業者の場合、自ら売主となる宅建業者は35条書面を交付する必要はない。,×,買主が宅建業者の場合、説明は省略可ですが書面の交付は必要です（業法35条6項）。交付義務自体は残ります。,業法
業法,保証協会の社員が社員資格を喪失したときは、1週間以内に営業保証金を供託しなければ、宅建業を営むことができない。,○,正しい（業法64条の15）。1週間以内の供託が必要。その後の届出を怠ると業務継続不可となります。,業法
業法,宅建業者が業法に違反して業務停止処分を受けたにもかかわらず、その期間中に業務を行った場合、免許権者は当該業者の免許を取り消さなければならない。,○,正しい（業法66条1項9号）。業務停止処分中の業務遂行は必要的免許取消事由です。裁量の余地なく免許取消となります。,業法
業法,"未完成物件の売買で、宅建業者が自ら売主となる場合、受領する手付金等が代金の10%以下かつ1,000万円以下であれば保全措置は不要である。",×,"未完成物件は5%以下かつ1,000万円以下。10%は完成物件の基準。（業法41条・41条の2、施行令3条の5）",直前対策
業法,完成物件の売買では、指定保管機関による手付金等寄託契約を保全措置として利用できる。,○,寄託が使えるのは完成物件のみ。未完成物件は保証委託・保証保険の2種。（業法41条の2第1項）,直前対策
業法,手付金等の保全措置を講ずべき政令で定める額は、未完成物件の場合500万円である。,×,"未完成・完成を問わず1,000万円。（施行令3条の5）",直前対策
業法,宅建業者が自ら売主となる売買で、代金の2/10を超える手付を定めた場合、超える部分のみが無効となる。,×,手付は2/10を「超えて受領できない」。「超える部分が無効」となるのは損害賠償額の予定・違約金の合計（業法38条）の方。（業法39条1項）,直前対策
業法,損害賠償額の予定と違約金を合算して代金の2/10を超える定めをした場合、その定め全体が無効となる。,×,超える部分が無効。全体無効ではない。（業法38条2項）,直前対策
業法,宅建業者が受領する支払金又は預り金について、受領額が50万円未満であれば保全措置を要しない。,○,50万円未満は「支払金又は預り金」の定義から除外される。（施行規則16条の3第1号）,直前対策
業法,"営業保証金は、主たる事務所につき1,000万円、その他の事務所ごとに500万円を供託する。",○,（施行令2条の4）,直前対策
業法,弁済業務保証金分担金は、主たる事務所につき100万円である。,×,本店60万円、支店ごとに30万円。（施行令7条）,直前対策
業法,宅建業者の帳簿と従業者名簿は、いずれも10年間保存しなければならない。,×,帳簿は閉鎖後5年（自ら売主の新築住宅のみ10年）、名簿は最終記載から10年。（施行規則18条3項・17条の2第4項）,直前対策
業法,従業者名簿の保存期間は、名簿を閉鎖した日から起算する。,×,最終の記載をした日から10年。起算点のひっかけ。（施行規則17条の2第4項）,直前対策
業法,契約締結を行う案内所には、業務従事者5人に1人以上の割合で専任の宅建士を置かなければならない。,×,案内所は従業者数にかかわらず1人以上。5人に1人は事務所。（施行規則15条の5の3）,直前対策
業法,事務所に標識を掲示しなかった宅建業者は、10万円以下の過料に処される。,×,標識・報酬額の不掲示は50万円以下の罰金（刑罰）。（業法83条）,直前対策
業法,宅建業法における10万円以下の過料は、宅建士証の返納・提出・重要事項説明時の提示の義務違反をした宅建士に科される。,○,過料の対象は宅建士個人のみ。（業法86条）,直前対策
業法,低廉な空家等の売買媒介の特例は、代金400万円以下の物件に適用される。,×,令和6年改正で800万円以下に拡大。400万円は改正前。（報酬告示第7）,直前対策
業法,代金800万円以下の宅地の売買媒介では、特例により常に税込33万円の報酬を受領できる。,×,33万円は上限。あらかじめ説明し合意することも必要。（報酬告示第7）,直前対策
業法,居住用建物の賃貸借の媒介報酬は、依頼者の一方からは原則として借賃の0.55月分以内である。,○,依頼を受けるまでに承諾を得れば1.1月分まで可（双方合計1.1月分は不変）。（報酬告示第4）,直前対策
業法,長期の空家等の貸借の媒介では、貸主・借主双方から合計で借賃の2.2月分まで受領できる。,○,現地調査等の費用を貸主側報酬に反映させる場合の特例。増やせるのは貸主側のみで、借主側は通常規制のまま。（報酬告示第9）,直前対策
業法,貸借の代理の報酬上限は、媒介の2倍である借賃の2.2月分である。,×,貸借の代理は借賃の1.1月分が上限。「代理＝2倍」は売買の発想。（報酬告示第5）,直前対策
業法,免税事業者である宅建業者は、課税事業者と同じ税込率（5.5%等）で報酬を受領できる。,×,110分の100を乗じた額に仕入れ消費税相当額を加算した額が上限。（報酬告示第11(2)）,直前対策
業法,媒介契約書面（業法34条の2）には、宅地建物取引士の記名が必要である。,×,媒介契約書は宅建業者の記名押印。宅建士の記名が必要なのは35条書面・37条書面。（業法34条の2第1項）,直前対策
業法,35条書面と37条書面には、いずれも宅地建物取引士の記名が必要である。,○,ただし説明義務があるのは35条のみ。37条書面は交付（電磁的方法含む）だけでよい。（業法35条・37条）,直前対策
業法,専任媒介契約の有効期間は3か月を超えることができず、これより長い期間を定めたときは契約自体が無効となる。,×,契約は無効にならず、期間が3か月に短縮される。（業法34条の2第3項）,直前対策
業法,専属専任媒介契約では、業務処理状況を2週間に1回以上報告しなければならない。,×,専属専任は1週間に1回以上。2週間に1回以上は専任。登録（5日/7日）と逆に覚えない。（業法34条の2第9項）,直前対策
業法,宅建業者が死亡した場合、相続人は死亡の日から30日以内に免許権者へ届け出なければならない。,×,死亡だけは「死亡の事実を知った日から」30日以内。その他の廃業等は「その日から」。（業法11条1項）,直前対策
業法,保証協会の社員となった宅建業者は、社員となった日から1か月以内に弁済業務保証金分担金を納付しなければならない。,×,社員となろうとする日までに納付（加入前）。なお新事務所設置時の追加納付は2週間以内。（業法64条の9）,直前対策
業法,誇大広告等の禁止に違反した場合、監督処分の対象にはなるが罰則の適用はない。,×,6月以下の拘禁刑もしくは100万円以下の罰金（または併科）。「罰則なし」が定番ひっかけ。（業法32条・81条）,直前対策
業法,専属専任媒介契約では、契約締結の日から休業日を除き5日以内に指定流通機構へ登録しなければならない。,○,専任7日・専属専任5日、休業日不算入。（施行規則15条の10）,直前対策
権利,心裡留保による意思表示は、相手方が悪意または有過失のときに限り無効となる。,○,民法93条1項ただし書のとおり。原則は有効で、例外的に無効。相手方が善意無過失なら有効となります。虚偽表示（94条）との違いを押さえましょう。,権利
権利,虚偽表示の無効は、善意の第三者に対抗できない。,○,民法94条2項。過失の有無は問いません。善意なら無過失でも過失ありでも両方対抗不可。心裡留保と異なり、悪意なら対抗可です。,権利
権利,強迫による意思表示の取消しは、善意無過失の第三者には対抗できない。,×,強迫には第三者保護規定がありません。善意無過失でも対抗できます。詐欺（96条3項）と混同させる出題が頻出です。,権利
権利,錯誤による意思表示は、表意者に重大な過失があれば、いかなる場合も取消しができない。,×,民法95条3項で3つの例外が認められます。相手方が悪意、重過失、または共通錯誤なら取消可。表意者の重大な過失でも完全に不可ではありません。,権利
権利,詐欺による意思表示の取消しは、善意でかつ過失がない第三者に対抗できない。,○,民法96条3項。善意無過失の第三者は保護対象です。ただし第三者詐欺の場合は96条2項で相手方の認識が問題になります。,権利
権利,第三者が詐欺を行った場合、相手方の善意・悪意にかかわらず取消しができる。,×,相手方がその事実を知り、又は知ることができたときに限り取消可です（民法96条2項）。相手方が善意無過失なら取消不可。,権利
権利,無権代理において、相手方の催告権は善意・悪意を問わず行使できる。,○,民法114条。催告権は善意・悪意を問いません。本人が確答を返さなければ追認拒絶とみなされる点が重要です。,権利
権利,制限行為能力者が無権代理行為をした場合、相手方は無権代理人の責任を追及できない。,○,民法117条2項3号。制限行為能力者は保護されます。責任追及の要件を満たせないため不可。本人への追認催告に切り替える必要があります。,権利
権利,代理人が相手方に対して詐欺を行った場合でも、本人が善意であれば相手方は取消しできない。,×,意思表示の瑕疵は代理人について判断します（民法101条1項）。本人の善意・悪意は関係ありません。,権利
権利,双方代理は例外なく無権代理とみなされる。,×,民法108条1項で2つの例外があります。債務の履行と本人の事前許諾があれば有効。「事前」がカギで、事後許諾は認められません。,権利
権利,取得時効で10年の短期取得時効が認められるには、占有期間中ずっと善意無過失でなければならない。,×,占有開始時に善意無過失であれば足り、途中で悪意になっても10年で取得できます（民法162条2項）。,権利
権利,催告による時効の完成猶予中に再度催告をしても、さらに6ヶ月の猶予は得られない。,○,民法150条2項。催告の繰り返しは不可。初回6ヶ月のみ。その間に裁判上の請求など別の更新事由が必要です。,権利
権利,時効の更新事由である「権利の承認」をするには、行為能力が必要である。,×,承認には行為能力・処分権限は不要です（民法152条2項）。管理能力さえあれば足ります。,権利
権利,不動産の物権変動は、登記をしなければ効力が発生しない。,×,当事者の意思表示のみで効力発生します（民法176条）。登記は対抗要件にすぎず、効力発生要件ではありません。,権利
権利,詐欺により登記の申請を妨げた者に対しては、登記がなくても対抗できる。,○,不動産登記法5条1項。登記申請を妨害した者の自己矛盾を禁止する規定です。「背信的悪意者」とは別の制度です。,権利
権利,抵当権者は、利息について満期となった最後の2年分に限り優先弁済を受けられる。,○,民法375条1項。最後の2年分のみ。元本と期限切れ利息は優先弁済対象外です。この数字を間違えると本試験で失点します。,権利
権利,土地に抵当権を設定した場合、その効力は当然に地上の建物にも及ぶ。,×,民法370条で建物は除外と明記されています。だからこそ法定地上権の制度が必要になります。,権利
権利,抵当権設定時に土地と建物が別々の所有者に属していた場合でも、競売により別々の所有者になると法定地上権が成立する。,×,設定時に土地と建物が同一の所有者に属していることが要件です（民法388条）。設定時に別々なら法定地上権は成立しません。,権利
権利,根抵当権の元本確定期日は、設定日から5年以内で定めなければならない。,○,民法398条の6。定めた日から5年以内。定めなければ3年で自動確定します（民法398条の10）。,権利
権利,連帯債務者の一人に対する免除は、他の連帯債務者の債務額も減少させる。,×,免除は相対効です（民法441条）。絶対効は更改・相殺・混同の3つだけ。改正民法で相対効に統一された点が重要。,権利
権利,連帯保証人には、催告の抗弁権はないが、検索の抗弁権はある。,×,連帯保証人には催告の抗弁権も検索の抗弁権もありません（民法454条）。分別の利益もなし。普通保証との重要な違いです。,権利
権利,個人根保証契約は、極度額を定めなければ無効となる。,○,民法465条の2第2項。極度額を書面で定めないと無効。事業用保証は公正証書必須です（民法465条の4）。,権利
権利,普通借地権の存続期間を20年と定めた場合、その定めは無効となり30年に引き上げられる。,○,借地借家法3条・9条。契約自体は有効で、期間が30年に強制引上げ。「定めが無効」ではなく「期間が変更」される点が重要です。,権利
権利,事業用定期借地権の設定契約は、公正証書でなくても書面であれば有効である。,×,公正証書必須です（借地借家法23条3項）。一般定期は公正証書等の書面でOKですが、事業用は保護規定が少ないため厳格です。,権利
権利,1階が店舗、2階が居住用の建物でも、事業用定期借地権を設定できる。,×,借地借家法23条1項で「専ら事業の用」と限定されています。居住部分が1平方メートルでもあれば設定不可です。,権利
権利,一般定期借地権の存続期間は、30年以上で設定しなければならない。,×,一般定期は50年以上です（借地借家法22条）。30年以上は普通借地権の最低期間。混同に注意してください。,権利
権利,普通借地権の最初の更新後の期間は、当事者の合意がなければ20年である。,○,借地借家法4条。初回は20年、2回目以降は10年。最初が長い理由は再築投資の保護のためです。,権利
権利,普通借家契約で存続期間を6ヶ月と定めた場合、その定めは無効となり期間の定めのない賃貸借となる。,○,借地借家法29条1項。1年未満は自動的に「期間の定めなし」にみなされます。借家人保護が趣旨です。,権利
権利,定期建物賃貸借では、更新がない旨を契約書に記載するだけでは足りない。,○,借地借家法38条3項・5項。契約書と別紙書面で事前説明が必須です。怠ると「更新なし」の定めが無効になります。,権利
権利,定期建物賃貸借の期間が1年以上の場合、期間満了の1年前から6ヶ月前までに終了通知が必要である。,○,借地借家法38条6項。通知期間は1年前〜6ヶ月前。通知がなければ通知後6ヶ月で終了。期間1年未満なら通知不要です。,権利
権利,造作買取請求権を排除する特約は、借主に不利なため無効である。,×,造作買取請求権は強行規定に含まれません。排除特約は有効です。これは借主保護の限界を示す論点です。,権利
権利,定期建物賃貸借の借主からの中途解約は、200平方メートル未満の居住用建物に限り認められる。,○,借地借家法38条7項。200平方メートル未満の居住用でやむを得ない事情があれば可。申入れから1ヶ月で終了します。,権利
権利,貸主からの解約申入れがあった場合、正当事由がなくても6ヶ月の経過で賃貸借が終了する。,×,正当事由がなければ解約申入れは認められません（借地借家法28条）。正当事由＋6ヶ月経過の両方が必要です。,権利
権利,配偶者と子が相続人の場合、配偶者の法定相続分は2分の1である。,○,民法900条1号。配偶者＋子は1/2ずつ。子が複数なら子側は1/2を等分します。相続分の基本です。,権利
権利,被相続人の兄弟姉妹には遺留分が認められない。,○,民法1042条1項。兄弟姉妹には遺留分なし。遺留分があるのは配偶者・子・直系尊属のみ。この区別が宅建頻出です。,権利
権利,半血の兄弟姉妹の相続分は、全血の兄弟姉妹と同じである。,×,民法900条4号ただし書。半血は全血の1/2です。例えば全血兄妹と半血兄が相続する場合、割合が異なります。,権利
権利,相続の承認又は放棄は、自己のために相続の開始があったことを知った時から3ヶ月以内にしなければならない。,○,民法915条1項。熟慮期間は3ヶ月。「知った時から」が起算点で、実際の開始時ではありません。家裁に延長申立ても可能です。,権利
権利,遺言による遺産の分割禁止は、期間の制限なく設定できる。,×,民法908条1項。相続開始から5年を超えない範囲で設定可。期間満了後は強制分割可で、無期限禁止は無効です。,権利
権利,公正証書遺言の作成には、証人2人以上の立会いが必要である。,○,民法969条1号。証人は2人以上。公証人・証人・遺言者の3者が関与します。自筆証書遺言には証人不要です。,権利
